Product Name	type of field	Pronamic S-KR	Pronamic E-S-WR	u-cap sport		
		Individually adjustable ventilation openings for maximum airflow	Individually adjustable ventilation openings for maximum airflow	Adjustable velcro fastening allows quick and easy fit		
		Sweatband	Sweatband	Available with mesh interior for high comfort		
		Wide nape support with close-to-head positioning	Wide nape support with close-to-head positioning			
🇮🇹IT:		Bardatura interna con sistema di regolazione graduale a rotella a sei punti per calzata e comfort ottimali	Bardatura interna con sistema di regolazione graduale a rotella a sei punti per calzata e comfort ottimali	Fascia antisudore integrata		
		Aperture di ventilazione regolabili in modo variabile per la massima aerazione	Aperture di ventilazione regolabili in modo variabile per la massima aerazione	Sistema con velcro regolabile per indossare il berretto facilmente e velocemente		
		Fascia antisudore	Fascia antisudore	Disponibile con fodera retata per maggior comfort		
		Ampio supporto della nuca e posizionamento vicino alla testa	Ampio supporto della nuca e posizionamento vicino alla testa			
Applications (4 bullet points)						
🇬🇧EN:		Head protection in low-temperature environments	Low-voltage electrical work	Activities in work environments without falling object risks		
		Protection from molten metals	Head protection in low-temperature environments	Prolonged use in hot or cold environments		
			Protection from molten metals			
						
🇮🇹IT:		Protezione del capo alle basse temperature	Operazioni in ambienti a bassa tensione	Operazioni in ambienti di lavoro senza rischi di caduta oggetti		
		Protezione da metalli fusi	Protezione del capo alle basse temperature	Utilizzo prolungato in ambienti caldi o freddi		
			Protezione da metalli fusi			
						
Industries						
🇬🇧EN:		Heavy industry, Construction	Heavy industry, Construction	Storage and logistics, construction		
🇮🇹IT:		Industria pesante, Edilizia	Industria pesante, Edilizia	Magazzinaggio e logistica, edilizia		
CE Category						
EN 397	marking required (we can do it like 388 on gloves I think)	TRUE	TRUE	FALSE		
Low-temperature performance	text, "-" if not relevant	Yes	Yes			
High-temperature stability	text					
Electrical insulation	text					
Lateral deformation resistance	text					
Molten metal splash resistance	text	Yes	Yes			
EN 50365		FALSE	TRUE			
EN 12492		FALSE	FALSE			
EN 812		FALSE	FALSE	TRUE		
EN ISO 20471		FALSE	FALSE			
Other EN Standards		FALSE	FALSE			
Related Product Name 1						
Related Product Name 2						
Related Product Name 3						
Related Product Name 4						
						
						
